"x","y"
-0.29412,0.0036656
-0.26471,0.0041027
-0.23529,0.0032527
-0.20588,0.0025108
-0.17647,0.0029643
-0.14706,0.002607
-0.11765,0.0029392
-0.088235,0.0033075
-0.058824,0.0029943
-0.029412,0.003007
0,0.0030117
0.029412,0.003007
0.058824,0.0029943
0.088235,0.0033075
0.11765,0.0029392
0.14706,0.002607
0.17647,0.0029643
0.20588,0.0025108
0.23529,0.0032527
0.26471,0.0041027
0.29412,0.0036656
0.32353,0.0046584
0.35294,0.0037979
0.38235,0.0029335
0.41176,0.0039398
0.44118,0.0031092
0.47059,0.0044571
0.5,0.0057992
0.52941,0.0049552
0.55882,0.0063727
0.58824,0.0051269
0.61765,0.0039564
0.64706,0.0053879
0.67647,0.0042191
0.70588,0.0060045
0.73529,0.0078624
0.76471,0.0066647
0.79412,0.0085915
0.82353,0.0069327
0.85294,0.0053541
0.88235,0.0072858
0.91176,0.005791
0.94118,0.0079682
0.97059,0.01023
1,0.008689
1.0294,0.010852
1.0588,0.0089449
1.0882,0.0070753
1.1176,0.0091539
1.1471,0.007447
1.1765,0.0096175
1.2059,0.011843
1.2353,0.010064
1.2647,0.012007
1.2941,0.010002
1.3235,0.007996
1.3529,0.0097587
1.3824,0.0079614
1.4118,0.0096276
1.4412,0.011297
1.4706,0.0093343
1.5,0.010563
1.5294,0.0084611
1.5588,0.0063134
1.5882,0.0072437
1.6176,0.0052805
1.6471,0.0059122
1.6765,0.0065014
1.7059,0.0042947
1.8215,0
1.8235,-3.6259e-06
1.7353,0.0044241
1.7647,0.0022491
1.7941,4.8802e-05
1.8529,-0.0021084
1.8824,-0.0024025
1.9118,-0.0026651
1.9412,-0.0046128
1.9706,-0.0050951
2,-0.0067208
2.0294,-0.008244
2.0588,-0.0083895
2.0882,-0.0094557
2.1176,-0.0092426
2.1471,-0.0087926
2.1765,-0.0091163
2.2059,-0.0083863
2.2353,-0.008157
2.2647,-0.0077137
2.2941,-0.0063207
2.3235,-0.0052187
2.3529,-0.003656
2.3824,-0.002062
2.4118,-0.00085797
2.4272,0
2.4412,0.0007817
2.4706,0.0017868
2.5,0.0025792
2.5294,0.0035821
2.5588,0.0040069
2.5882,0.0044376
2.6176,0.0046172
2.6471,0.0042817
2.6765,0.0037974
2.7059,0.0031467
2.7353,0.0024183
2.7647,0.0016992
2.8338,0
2.8529,-0.00033467
2.8824,-0.00087593
2.7941,0.00081128
2.8235,0.00018082
2.9118,-0.0011261
2.9412,-0.0013515
2.9706,-0.0014562
3,-0.0013426
3.0294,-0.0011258
3.0588,-0.00088521
3.0882,-0.00063339
3.1176,-0.00038267
3.1471,-0.00011757
3.166,0
3.1765,6.5504e-05
3.2059,0.00019865
3.2353,0.00031448
3.2647,0.00032112
3.2941,0.00033555
3.3235,0.00032593
3.3529,0.00026026
3.3824,0.00018649
3.4118,0.00011434
3.4412,5.0836e-05
3.4706,2.9667e-06
3.473,0
3.5,-3.3022e-05
3.5294,-5.2957e-05
3.5588,-6.2575e-05
3.5882,-6.7596e-05
3.6176,-5.1044e-05
3.6471,-4.1812e-05
3.6765,-3.2517e-05
3.7059,-1.576e-05
3.7353,-6.9692e-06
3.7557,0
3.7647,3.0638e-06
3.7941,1.0672e-05
3.8235,1.2176e-05
3.8529,1.2753e-05
3.8824,1.0886e-05
3.9118,8.4908e-06
3.9412,7.4775e-06
4.052,0
4.0588,-5.0654e-07
3.9706,3.9836e-06
4,2.6084e-06
4.0294,1.6722e-06
4.0882,-6.5123e-08
4.1176,-7.1324e-07
4.1471,-1.2154e-06
4.1765,-3.3493e-07
4.2059,-6.0355e-07
4.2353,-9.1e-08
4.2409,0
4.2647,3.9029e-07
4.2941,2.8098e-08
4.3235,5.2197e-07
4.3529,3.8692e-07
4.3824,2.2191e-07
4.4118,6.2546e-07
4.4412,2.3791e-07
4.4706,3.1616e-07
4.5,3.9957e-07
4.5294,2.7251e-08
4.5588,2.7e-07
4.5882,1.6047e-07
4.6176,5.4444e-08
4.6471,3.0753e-07
4.7575,0
4.7647,-5.6726e-08
4.6765,6.968e-08
4.7059,1.2077e-07
4.7353,1.7419e-07
4.7731,0
4.7941,1.4102e-07
4.8235,9.3249e-08
4.8529,4.5836e-08
4.8824,2.4457e-07
4.9907,0
5,-5.9501e-08
4.9118,5.4434e-08
4.9412,9.113e-08
4.9706,1.2854e-07
