"x","y"
-0.85294,0.00033549
-0.82353,0.00060488
-0.79412,0.00088812
-0.76471,0.00062799
-0.73529,0.00086591
-0.70588,0.00059857
-0.67647,0.00033686
-0.64706,0.00055677
-0.61765,0.00034643
-0.58824,0.000552
-0.55882,0.00076606
-0.52941,0.00054368
-0.5,0.00070344
-0.47059,0.00048492
-0.44118,0.00026507
-0.41176,0.00041639
-0.38235,0.00026328
-0.35294,0.00039669
-0.32353,0.00053122
-0.29412,0.00038276
-0.26471,0.00045317
-0.23529,0.00033919
-0.20588,0.00024002
-0.17647,0.00031122
-0.14706,0.0002733
-0.11765,0.00031636
-0.088235,0.0003631
-0.058824,0.00032946
-0.029412,0.00033351
0,0.00033501
0.029412,0.00033351
0.058824,0.00032946
0.088235,0.0003631
0.11765,0.00031636
0.14706,0.0002733
0.17647,0.00031122
0.20588,0.00024002
0.23529,0.00033919
0.26471,0.00045317
0.29412,0.00038276
0.32353,0.00053122
0.35294,0.00039669
0.38235,0.00026328
0.41176,0.00041639
0.44118,0.00026507
0.47059,0.00048492
0.5,0.00070344
0.52941,0.00054368
0.55882,0.00076606
0.58824,0.000552
0.61765,0.00034643
0.64706,0.00055677
0.67647,0.00033686
0.70588,0.00059857
0.73529,0.00086591
0.76471,0.00062799
0.79412,0.00088812
0.82353,0.00060488
0.85294,0.00033549
0.88235,0.00059308
0.91176,0.00033231
0.94118,0.00064958
0.97059,0.00098373
1,0.00073233
1.0294,0.0010733
1.0588,0.00079373
1.0882,0.00053166
1.1176,0.00088388
1.1471,0.00064933
1.1765,0.0010638
1.2059,0.0014934
1.2353,0.0012656
1.2647,0.0016733
1.2941,0.0013762
1.3235,0.0010823
1.3529,0.001462
1.3824,0.0011803
1.4118,0.0015974
1.4412,0.0020124
1.4706,0.0016892
1.5,0.002044
1.5294,0.0016379
1.5588,0.0012315
1.5882,0.0015521
1.6176,0.0011626
1.6471,0.001531
1.6765,0.0019071
1.7059,0.0015088
1.7353,0.0018671
1.7647,0.0014512
1.7941,0.0010575
1.8235,0.001452
1.8529,0.0011171
1.8824,0.0015991
1.9118,0.0021114
1.9412,0.0018386
1.9706,0.0023687
2,0.0020922
2.0294,0.001839
2.0588,0.0024122
2.0882,0.0022157
2.1176,0.0028641
2.1471,0.0035265
2.1765,0.0033475
2.2059,0.0039692
2.2353,0.0037071
2.2647,0.0034372
2.2941,0.0040135
2.3235,0.0037391
2.3529,0.0043425
2.3824,0.0049267
2.4118,0.0045755
2.4412,0.005062
2.4706,0.0045871
2.5,0.0040901
2.5294,0.0044921
2.5588,0.0039626
2.5882,0.004392
2.6176,0.0048049
2.6471,0.0042094
2.6765,0.0045689
2.7059,0.0038986
2.7353,0.0032308
2.7647,0.0035821
2.7941,0.0029078
2.8235,0.0033497
2.8529,0.0038057
2.8824,0.0031587
2.9118,0.0036649
2.9412,0.0029951
2.9706,0.0023563
3,0.0029413
3.0294,0.0023032
3.0588,0.0030406
3.0882,0.0038078
3.1176,0.0032426
3.1471,0.0041195
3.1765,0.0035063
3.2059,0.0029237
3.2353,0.0038765
3.2647,0.0032355
3.2941,0.0043562
3.3235,0.0054883
3.3529,0.0048632
3.3824,0.006094
3.4118,0.0053362
3.4412,0.0045829
3.4706,0.0058119
3.5,0.0049157
3.5294,0.0062801
3.5588,0.0076271
3.5882,0.006645
3.6176,0.0080461
3.6471,0.0068612
3.6765,0.0056552
3.7059,0.0069799
3.7353,0.0056007
3.7647,0.0069973
3.7941,0.0083616
3.8235,0.0068417
3.8529,0.0081934
3.8824,0.0065022
3.9118,0.0047808
3.9412,0.0060288
3.9706,0.0041837
4,0.0054456
4.0294,0.0066821
4.0588,0.0047198
4.0882,0.0059249
4.1176,0.0038603
4.1471,0.0017794
4.1765,0.0029187
4.2059,0.00077705
4.2353,0.0019236
4.2647,0.0030635
4.2941,0.00086918
4.3502,0
4.3529,-0.00020299
4.3824,-0.0024161
4.4118,-0.0012742
4.3235,0.0020086
4.4412,-0.0034886
4.4706,-0.0023168
4.5,-0.0011396
4.5294,-0.0033044
4.5588,-0.0021024
4.5882,-0.0042428
4.6176,-0.0063728
4.6471,-0.0051027
4.6765,-0.0071669
4.7059,-0.0058245
4.7353,-0.0044627
4.7647,-0.0064276
4.7941,-0.0050289
4.8235,-0.0069505
4.8529,-0.0088392
4.8824,-0.0073331
4.9118,-0.0091256
4.9412,-0.0075272
4.9706,-0.0059025
5,-0.0075763
